name,skin_type,date,date_original,comment
saraslayyy,"Combination, Medium, Warm",2025-10-12,a day ago,"I swear, ini moisturizer kayak pelukan buat kulit capek 🥹💗 Pas pertama kali coba, kulitku langsung halus dan lembap seharian. Nggak berat, tapi cukup buat hidrasi parah. Minusnya cuma satu: kalau kulitmu oily banget, bisa agak too much."
Tazqiyya,"Normal, Medium Light, Neutral",2025-10-11,2 days ago,Sukaa banget sama teksturnyaa enak banget kalo dipakai tiap malam kulit jadi auto lembabb dan jarang banget jerawatan. Pas pagii di apply di mukaa juga jadi plumppyyy bangett enakkk recomendedd bangett sihhh ini kalian wajib cobain moistnya
ratnakartika04,"Combination, Medium, Neutral",2025-10-10,3 days ago,"Pertama kali pake teksturnya, terasa ringan dan lembut banget, bukan gel berat yang lengket. Pas dioles, agak dingin & langsung rasa PLUMP (seperti kulit lebih penuh air). Enaknya, setelah pakai malam hari, besoknya kulit nggak kering atau retak – malah tampak lebih halus & nyaman."
nandysepti,"Normal, Medium, Neutral",2025-10-07,6 days ago,"helpful bangettttttt, aku pakai ini pas kulit bener-bener lagi kering, pas malam sebelum tidur aku pakai rata seliruh wajah, paginya kulit wajah kenyal, kalau udah gak kering aku pakai yang varian lain"
PENI74,"Oily, Light, Warm",2025-10-06,7 days ago,Aku dah lama pake skintofic ini. Aku type oily skin. Tapi pas dipake itu bener bener enak. Jadi pas dipake blendnya gampang banget. Selain itu gampang meresap dan gak bikin perih. Karena aku juga rada senitif sama beberapa produk. Rekomend sih
chayyy,"Oily, Medium Light, Neutral",2025-10-05,05 Oct 2025,"menurut aku baguss! kulit ku sensitif, selain bisa bikin kulit lembap selama aku pakai ga pernah break out. Bruntusan aku juga perlahan menghilangg, tapi untuk lihat hasilnha agak lama sih tapi aku tetap recomendasikan karena selama ini cuma ini yang cocok di kulit kuu"
nurrayamartha,"Dry, Medium, Neutral",2025-10-03,03 Oct 2025,"Karna kulit aku kering parah. Aku coba moisturiize ini yang claimnya bisa melembabkan. Dan di aku worth it banget, aku suka texture yang ringan nggak lengket dan gabikin white case. Kulit ku yang sering perih kalo pake produk lain, tapi waktu pake ini bener bener calming banget ga bikin iritasi merah dan perih sama sekali. Ini cocok buat memperbaiki skin barier aku."
iyaraverlyn,"Oily, Medium, Neutral",2025-10-01,01 Oct 2025,"krna banyak bgt yg blg ini baguss bgt,jadi akhirnyaaku nyoba dan ternyata tidak cocok. walaupun kulit aku berminyak tapi pakai ini malah jadi kering. pakai hari ini besok atau lusa lgsg tumbuh jerawat😭"
Haura,"Normal, Medium, Neutral",2025-09-10,10 Sep 2025,"Kepo pengen nyoba dan real sih pas dicoba tuh beneran nyaman. Gak lengket banget, ringan. Dan gongnya adalah pas pagi kerasa masih lembab. Asli sih bagus astagaaaa. So far, ini worth it to buy. Emang yaa harga agak lumayan tapi menurutku oke kok kalo diliat dari kualitasnya."
rezitara,"Normal, Medium, Warm",2025-09-02,02 Sep 2025,Beli ini karena sempet hype bgt trs penasaran dan coba. Ok sih melembabkan iya banget. Dikulit aku juga bagus gada efek jelek juga. Tp emg bener2 untuk melembabkan tuh iya bgt kayak kalau seharian abis dr luar trs muka udh bersih dan dikasih ini tuh kulit muka berasa bgt terhidrasi gitu dan seger bgt. Tp kalau di aku jujur gada perubahan yg signifikan bgt. Ini produk bagus kok cuma untuk dikulitku gada yg bikin gong bgt gitu. Tp aku ttp luv kok krn ga bikin kulitku ngamuk yg penting😅
