name,date,comment,18 and Under,19 - 24,25 - 29,30 - 34,35 - 39,45 and Above,Combination,Cool,Dark,Dry,Dry Skin,Light,Medium,Medium Dark,Medium Light,Neutral,Normal,Oily,Oily Skin,Warm,tokenized_comments,sentiment_score,sentiment_category_en,sentiment_category,document_vector
saraslayyy,2025-10-12,i swear ini moisturizer kayak pelukan buat kulit capek  pas pertama kali coba kulitku langsung halus dan lembap seharian nggak berat tapi cukup buat hidrasi parah minusnya cuma satu kalau kulitmu oily banget bisa agak too much,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"['i', 'swear', 'moisturizer', 'kayak', 'pelukan', 'buat', 'kulit', 'capek', 'pas', 'pertama', 'kali', 'coba', 'kulitku', 'langsung', 'halus', 'lembap', 'seharian', 'berat', 'cukup', 'buat', 'hidrasi', 'parah', 'minusnya', 'cuma', 'satu', 'kalau', 'kulitmu', 'oily', 'banget', 'too', 'much']",-0.0516,Negative,negatif,"[-0.26750797  0.43373117 -0.08455174 -0.04463954  0.14738268 -0.61129004
  0.3402974   1.0257652  -0.42414954 -0.29847094 -0.14746317 -0.68931425
 -0.07393782  0.12327332  0.0671085  -0.27689767  0.26345828 -0.34379998
 -0.03916776 -0.91758674  0.18883298  0.2347578   0.17686014 -0.17644036
 -0.07082361  0.05144477 -0.34251648 -0.27776068 -0.42124608  0.125171
  0.45214626 -0.09872656  0.24118493 -0.43835914 -0.23751792  0.69035894
  0.05006009 -0.3028288  -0.12815589 -0.7164623   0.02236746 -0.3904895
 -0.2073811   0.1059216   0.39102718 -0.04754326 -0.354445   -0.08473469
  0.25876376  0.159146    0.15643956 -0.45793217  0.20737387  0.08176851
 -0.32633758  0.22882134  0.13886774  0.08541174 -0.4548241   0.24396642
  0.00343535  0.03777829  0.07670324 -0.0843295  -0.40010014  0.5822457
  0.2618746   0.26564637 -0.5797707   0.5072081  -0.40480736  0.15592258
  0.5368324  -0.07351951  0.52751887  0.22869442 -0.07178933 -0.07692793
 -0.3265161   0.12684394 -0.42241448  0.00709675 -0.36085466  0.5955118
 -0.16883567 -0.0822799   0.17622681  0.5085496   0.43937784  0.01768056
  0.61362344  0.46495935  0.06380574  0.03508041  0.7479946   0.3545043
  0.2355626  -0.39612195  0.09792479  0.00108587]"
Tazqiyya,2025-10-11,sukaa banget sama teksturnyaa enak banget kalo dipakai tiap malam kulit jadi auto lembabb dan jarang banget jerawatan pas pagii di apply di mukaa juga jadi plumppyyy bangett enakkk recomendedd bangett sihhh ini kalian wajib cobain moistnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"['sukaa', 'banget', 'sama', 'teksturnyaa', 'enak', 'banget', 'kalo', 'dipakai', 'tiap', 'malam', 'kulit', 'jadi', 'auto', 'lembabb', 'jarang', 'banget', 'jerawatan', 'pas', 'pagii', 'apply', 'mukaa', 'jadi', 'plumppyyy', 'bangett', 'enakkk', 'recomendedd', 'bangett', 'sihhh', 'kalian', 'wajib', 'cobain', 'moistnya']",0.0,Neutral,netral,"[-2.3082319e-01  3.8007700e-01 -8.5143946e-02 -4.3392759e-02
  1.2790996e-01 -5.2831864e-01  2.9627919e-01  8.9698720e-01
 -3.6842850e-01 -2.5800142e-01 -1.2490146e-01 -6.0152251e-01
 -6.3546404e-02  1.1014972e-01  6.1387870e-02 -2.4518470e-01
  2.3587845e-01 -3.0198923e-01 -4.3987472e-02 -7.9856169e-01
  1.6411971e-01  2.1039627e-01  1.5237081e-01 -1.5532355e-01
 -5.9290655e-02  4.0396042e-02 -2.9682568e-01 -2.5424165e-01
 -3.6303914e-01  1.1053893e-01  3.9444736e-01 -8.8092268e-02
  2.0071484e-01 -3.9694464e-01 -2.1064849e-01  6.0818553e-01
  3.9430507e-02 -2.5835645e-01 -1.0624565e-01 -6.2259066e-01
  1.9777201e-02 -3.4419623e-01 -1.7517245e-01  9.4587699e-02
  3.4249657e-01 -4.0156610e-02 -3.1599525e-01 -6.9085330e-02
  2.2274384e-01  1.3592243e-01  1.4380057e-01 -4.0359738e-01
  1.8146606e-01  7.1447916e-02 -2.9326349e-01  2.0326598e-01
  1.2449580e-01  7.5986363e-02 -4.0267721e-01  2.1061833e-01
  1.0916753e-02  3.3525549e-02  6.3144773e-02 -7.7927910e-02
 -3.4439129e-01  5.0739104e-01  2.3528692e-01  2.3784669e-01
 -5.0170940e-01  4.3795601e-01 -3.4889001e-01  1.3703586e-01
  4.6851423e-01 -6.8131126e-02  4.6539462e-01  2.0334464e-01
 -6.2874742e-02 -5.6363601e-02 -2.8285804e-01  1.1551826e-01
 -3.7047008e-01  3.8005328e-05 -3.2094342e-01  5.1185399e-01
 -1.4194527e-01 -8.0558173e-02  1.5009110e-01  4.4030881e-01
  3.8198441e-01  2.2005539e-02  5.3896117e-01  4.1884983e-01
  6.0775563e-02  2.7555250e-02  6.5701294e-01  3.1346136e-01
  2.1362278e-01 -3.4492442e-01  8.3487675e-02 -1.0691537e-03]"
ratnakartika04,2025-10-10,pertama kali pake teksturnya terasa ringan dan lembut banget bukan gel berat yang lengket pas dioles agak dingin  langsung rasa plump seperti kulit lebih penuh air enaknya setelah pakai malam hari besoknya kulit nggak kering atau retak  malah tampak lebih halus  nyaman,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,"['pertama', 'kali', 'pake', 'teksturnya', 'terasa', 'ringan', 'lembut', 'banget', 'bukan', 'gel', 'berat', 'lengket', 'pas', 'dioles', 'dingin', 'langsung', 'rasa', 'plump', 'kulit', 'lebih', 'penuh', 'air', 'enaknya', 'pakai', 'malam', 'hari', 'besoknya', 'kulit', 'kering', 'retak', 'malah', 'tampak', 'lebih', 'halus', 'nyaman']",0.0,Neutral,netral,"[-2.78825462e-01  4.63735372e-01 -1.11634597e-01 -5.95966056e-02
  1.53440878e-01 -6.27240956e-01  3.58890414e-01  1.06071484e+00
 -4.41699296e-01 -3.00133258e-01 -1.49269089e-01 -7.28470385e-01
 -6.98011965e-02  1.24955833e-01  7.54007772e-02 -2.99153149e-01
  2.88516760e-01 -3.63062531e-01 -6.48832321e-02 -9.47993159e-01
  2.05751255e-01  2.45982364e-01  1.74554780e-01 -1.88806623e-01
 -6.22636266e-02  3.96612920e-02 -3.62165779e-01 -3.12751681e-01
 -4.28605080e-01  1.18306912e-01  4.63486642e-01 -1.05804853e-01
  2.53800273e-01 -4.96519357e-01 -2.52782345e-01  7.27428794e-01
  4.36394215e-02 -2.91520447e-01 -1.15785547e-01 -7.47209251e-01
  3.45884785e-02 -4.27922159e-01 -2.02377796e-01  1.12909354e-01
  4.04758185e-01 -4.19977456e-02 -3.85849684e-01 -7.33160600e-02
  2.47790605e-01  1.53280273e-01  1.74757674e-01 -4.84779626e-01
  2.26498380e-01  8.50607976e-02 -3.52478802e-01  2.56411433e-01
  1.51353747e-01  1.15382411e-01 -4.87249970e-01  2.68468946e-01
  1.95194613e-02  4.37388606e-02  7.19458535e-02 -1.01583056e-01
 -3.93319130e-01  6.02251053e-01  2.83003211e-01  3.05277586e-01
 -5.78422606e-01  5.15523255e-01 -4.30838108e-01  1.67655438e-01
  5.65506458e-01 -8.60591754e-02  5.63036680e-01  2.40004212e-01
 -8.86380002e-02 -7.10159913e-02 -3.18079025e-01  1.40705392e-01
 -4.48202372e-01 -3.98012111e-04 -3.91289413e-01  6.00520372e-01
 -1.71687096e-01 -9.86401290e-02  1.83310807e-01  5.17118037e-01
  4.58956093e-01  3.64313014e-02  6.44319236e-01  5.13183415e-01
  7.18488842e-02  2.35367734e-02  7.82609344e-01  3.66522253e-01
  2.53002554e-01 -4.01056767e-01  9.97963324e-02 -1.84618887e-02]"
nandysepti,2025-10-07,helpful bangettttttt aku pakai ini pas kulit benerbener lagi kering pas malam sebelum tidur aku pakai rata seliruh wajah paginya kulit wajah kenyal kalau udah gak kering aku pakai yang varian lain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"['helpful', 'bangettttttt', 'aku', 'pakai', 'pas', 'kulit', 'benerbener', 'kering', 'pas', 'malam', 'tidur', 'aku', 'pakai', 'rata', 'seliruh', 'wajah', 'paginya', 'kulit', 'wajah', 'kenyal', 'kalau', 'udah', 'gak', 'kering', 'aku', 'pakai', 'varian']",0.4215,Positive,positif,"[-3.13125402e-01  5.17297328e-01 -1.07765377e-01 -6.04904033e-02
  1.69487163e-01 -7.14360535e-01  4.10344720e-01  1.20768511e+00
 -5.01750290e-01 -3.48670632e-01 -1.69042528e-01 -8.07890832e-01
 -8.40236694e-02  1.45629808e-01  7.89993480e-02 -3.23296696e-01
  3.24631900e-01 -4.01162565e-01 -5.52469045e-02 -1.08300316e+00
  2.27967903e-01  2.81788677e-01  2.02745721e-01 -2.07791865e-01
 -7.75736049e-02  5.36771715e-02 -4.01535183e-01 -3.41142029e-01
 -4.83641028e-01  1.46134540e-01  5.32922328e-01 -1.23845540e-01
  2.78328568e-01 -5.38376689e-01 -2.76649803e-01  8.16286564e-01
  5.62553667e-02 -3.48018259e-01 -1.40918627e-01 -8.35463703e-01
  3.24855335e-02 -4.66209054e-01 -2.41447344e-01  1.30182713e-01
  4.60554630e-01 -4.94835675e-02 -4.25881594e-01 -9.24306363e-02
  2.99393237e-01  1.86329275e-01  1.90493315e-01 -5.38509786e-01
  2.43184984e-01  1.01432391e-01 -3.85594577e-01  2.78707266e-01
  1.71052352e-01  1.01684488e-01 -5.32785892e-01  2.92155534e-01
 -6.87824620e-04  4.78518046e-02  8.03323612e-02 -1.05680816e-01
 -4.66026485e-01  6.87449574e-01  3.15300524e-01  3.22754472e-01
 -6.75113559e-01  5.88203847e-01 -4.71587688e-01  1.83100596e-01
  6.37263000e-01 -8.96217525e-02  6.29320979e-01  2.65372902e-01
 -8.59239772e-02 -7.68485144e-02 -3.82421702e-01  1.56932145e-01
 -5.07882059e-01  5.50136296e-03 -4.20849621e-01  6.90701783e-01
 -1.91059023e-01 -1.00783885e-01  2.08427399e-01  5.88511407e-01
  5.14136434e-01  2.27921512e-02  7.20210910e-01  5.58087885e-01
  7.17862993e-02  3.54690589e-02  8.79024506e-01  4.19140577e-01
  2.83403963e-01 -4.61375982e-01  1.08954906e-01  5.79269649e-03]"
PENI74,2025-10-06,aku dah lama pake skintofic ini aku type oily skin tapi pas dipake itu bener bener enak jadi pas dipake blendnya gampang banget selain itu gampang meresap dan gak bikin perih karena aku juga rada senitif sama beberapa produk rekomend sih,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"['aku', 'dah', 'lama', 'pake', 'skintofic', 'aku', 'type', 'oily', 'skin', 'pas', 'dipake', 'bener', 'bener', 'enak', 'jadi', 'pas', 'dipake', 'blendnya', 'gampang', 'banget', 'gampang', 'meresap', 'gak', 'bikin', 'perih', 'aku', 'rada', 'senitif', 'sama', 'beberapa', 'produk', 'rekomend', 'sih']",0.0,Neutral,netral,"[-0.31854406  0.5216337  -0.1098648  -0.05673468  0.17136586 -0.73765147
  0.41250956  1.2442173  -0.5129434  -0.35856253 -0.17144582 -0.83222294
 -0.09268972  0.14838882  0.08187586 -0.34368312  0.32116976 -0.42253503
 -0.05582722 -1.105449    0.2329856   0.2938618   0.21816628 -0.21739335
 -0.07930613  0.05407627 -0.41750622 -0.3450594  -0.5070317   0.14782238
  0.5476259  -0.11880536  0.29121286 -0.5472311  -0.28314403  0.837757
  0.0528434  -0.36420447 -0.14970419 -0.8709237   0.02046694 -0.47571087
 -0.24534607  0.12941854  0.47408557 -0.0594409  -0.43758857 -0.09223367
  0.31510422  0.19260174  0.1930281  -0.55412835  0.24680343  0.09592802
 -0.39710853  0.28082106  0.17428555  0.11063591 -0.5531303   0.29396296
  0.00837326  0.04666075  0.09295186 -0.10864156 -0.4821812   0.70822334
  0.3149474   0.32606328 -0.70386374  0.60523117 -0.49282825  0.19641118
  0.65060127 -0.09760036  0.6423568   0.2782757  -0.0868683  -0.09260513
 -0.39553392  0.16102575 -0.51196927  0.00517185 -0.44474128  0.7256198
 -0.20022227 -0.10681117  0.21190707  0.61440563  0.52934134  0.03804075
  0.7438176   0.57884294  0.08333369  0.03839343  0.9118137   0.42985255
  0.28618586 -0.47375935  0.1190813  -0.00620634]"
chayyy,2025-10-05,menurut aku baguss kulit ku sensitif selain bisa bikin kulit lembap selama aku pakai ga pernah break out bruntusan aku juga perlahan menghilangg tapi untuk lihat hasilnha agak lama sih tapi aku tetap recomendasikan karena selama ini cuma ini yang cocok di kulit kuu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"['aku', 'baguss', 'kulit', 'ku', 'sensitif', 'bikin', 'kulit', 'lembap', 'selama', 'aku', 'pakai', 'ga', 'pernah', 'break', 'out', 'bruntusan', 'aku', 'perlahan', 'menghilangg', 'lihat', 'hasilnha', 'lama', 'sih', 'aku', 'tetap', 'recomendasikan', 'selama', 'cuma', 'cocok', 'kulit', 'kuu']",0.0,Neutral,netral,"[-0.279057    0.46615782 -0.09660853 -0.04601208  0.15367687 -0.6463825
  0.3630416   1.0852816  -0.44773087 -0.31165463 -0.15135756 -0.7286871
 -0.08007324  0.12485529  0.07282723 -0.29173034  0.29446754 -0.36510342
 -0.05207976 -0.96955675  0.20273739  0.25237337  0.18673837 -0.18394752
 -0.06833694  0.05246131 -0.36149132 -0.3034581  -0.43564248  0.1353285
  0.47955152 -0.1150255   0.25297818 -0.4806103  -0.24773222  0.73747313
  0.05366753 -0.31519827 -0.1276692  -0.7540725   0.02878941 -0.4217891
 -0.22003452  0.11420272  0.41110688 -0.04140218 -0.38623032 -0.07962298
  0.2678108   0.16816083  0.16815478 -0.4873487   0.2171943   0.08769487
 -0.34807646  0.25022408  0.15636127  0.09182765 -0.4825752   0.26203048
 -0.00457789  0.03795659  0.07527629 -0.09304627 -0.41845903  0.6188729
  0.28515488  0.29392615 -0.605977    0.52920884 -0.42741752  0.16551189
  0.5720708  -0.08040721  0.5636179   0.23751077 -0.07699849 -0.07118353
 -0.34234202  0.1367669  -0.45992294  0.00696588 -0.37627816  0.62531775
 -0.17763934 -0.08988046  0.18710983  0.5284409   0.45743763  0.01865392
  0.6460152   0.50377536  0.06474788  0.03155178  0.7929228   0.3726202
  0.25110203 -0.41321996  0.0975093   0.00408027]"
nurrayamartha,2025-10-03,karna kulit aku kering parah aku coba moisturiize ini yang claimnya bisa melembabkan dan di aku worth it banget aku suka texture yang ringan nggak lengket dan gabikin white case kulit ku yang sering perih kalo pake produk lain tapi waktu pake ini bener bener calming banget ga bikin iritasi merah dan perih sama sekali ini cocok buat memperbaiki skin barier aku,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,"['karna', 'kulit', 'aku', 'kering', 'parah', 'aku', 'coba', 'moisturiize', 'claimnya', 'melembabkan', 'aku', 'worth', 'it', 'banget', 'aku', 'suka', 'texture', 'ringan', 'lengket', 'gabikin', 'white', 'case', 'kulit', 'ku', 'sering', 'perih', 'kalo', 'pake', 'produk', 'waktu', 'pake', 'bener', 'bener', 'calming', 'banget', 'ga', 'bikin', 'iritasi', 'merah', 'perih', 'sama', 'sekali', 'cocok', 'buat', 'memperbaiki', 'skin', 'barier', 'aku']",0.5574,Positive,positif,"[-0.33004478  0.54720044 -0.10796303 -0.05017928  0.17948711 -0.7666776
  0.42653218  1.2801987  -0.5265099  -0.3714209  -0.1766287  -0.8631783
 -0.09144034  0.15155555  0.08463546 -0.34671032  0.33454272 -0.42688075
 -0.0561807  -1.1388654   0.2345832   0.29970613  0.22806616 -0.22211379
 -0.08052612  0.06980623 -0.43041298 -0.35402843 -0.51881635  0.15421912
  0.57094973 -0.13088124  0.30036825 -0.55754745 -0.28977397  0.87177676
  0.06280373 -0.3789747  -0.15881042 -0.8981371   0.02989952 -0.49452022
 -0.2612436   0.12744813  0.48733294 -0.05292073 -0.45086583 -0.0951294
  0.3237113   0.19899912  0.1970992  -0.57252824  0.25644907  0.09862409
 -0.40869537  0.29180375  0.18505146  0.10617778 -0.5733265   0.30097416
 -0.00923519  0.03740607  0.10345906 -0.10649649 -0.5004864   0.73254615
  0.32823044  0.34059346 -0.7310392   0.63853544 -0.5073872   0.20139754
  0.6704398  -0.09112223  0.6644825   0.2811217  -0.0908947  -0.09543971
 -0.40685895  0.16085294 -0.5469987   0.01016476 -0.44849238  0.7481837
 -0.21785402 -0.1096637   0.22635637  0.6272885   0.5465891   0.03006413
  0.76327485  0.59264797  0.08280317  0.03838091  0.9427557   0.43960795
  0.2934421  -0.48819372  0.11640912  0.00135495]"
iyaraverlyn,2025-10-01,krna banyak bgt yg blg ini baguss bgtjadi akhirnyaaku nyoba dan ternyata tidak cocok walaupun kulit aku berminyak tapi pakai ini malah jadi kering pakai hari ini besok atau lusa lgsg tumbuh jerawat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"['krna', 'banyak', 'bgt', 'yg', 'blg', 'baguss', 'bgtjadi', 'akhirnyaaku', 'nyoba', 'ternyata', 'cocok', 'walaupun', 'kulit', 'aku', 'berminyak', 'pakai', 'malah', 'jadi', 'kering', 'pakai', 'hari', 'besok', 'lusa', 'lgsg', 'tumbuh', 'jerawat']",0.0,Neutral,netral,"[-0.27214018  0.44417816 -0.09392124 -0.0476604   0.1493205  -0.6231232
  0.35010725  1.0486897  -0.4325907  -0.3048232  -0.14859313 -0.69731146
 -0.07812036  0.12578566  0.06673522 -0.2832403   0.27799624 -0.35435268
 -0.04480126 -0.93442655  0.1982914   0.24362828  0.17645587 -0.17635584
 -0.07092021  0.04922153 -0.34522337 -0.28989178 -0.42345843  0.13038938
  0.46213025 -0.10598786  0.2386686  -0.4574308  -0.2437527   0.70896435
  0.05081195 -0.30631223 -0.12607014 -0.7262027   0.0237642  -0.39985195
 -0.20927647  0.11178046  0.3978459  -0.04325502 -0.3705011  -0.0817866
  0.26407406  0.16248137  0.1640671  -0.4677541   0.20647982  0.08642498
 -0.33580092  0.2384909   0.14775282  0.08402345 -0.46284956  0.24731469
 -0.00173791  0.04174111  0.07134452 -0.08839791 -0.40885732  0.5957395
  0.27179825  0.27464864 -0.5870237   0.511859   -0.40859634  0.15886052
  0.552144   -0.07582698  0.54486495  0.22930408 -0.07055669 -0.06872703
 -0.33641213  0.13111535 -0.43638662  0.00504402 -0.36531258  0.6052195
 -0.16910133 -0.08576782  0.1774041   0.5164423   0.44456217  0.01687652
  0.62787163  0.4830887   0.06338082  0.0351393   0.7633437   0.36311367
  0.24220766 -0.40607265  0.10015082  0.00572066]"
Haura,2025-09-10,kepo pengen nyoba dan real sih pas dicoba tuh beneran nyaman gak lengket banget ringan dan gongnya adalah pas pagi kerasa masih lembab asli sih bagus astagaaaa so far ini worth it to buy emang yaa harga agak lumayan tapi menurutku oke kok kalo diliat dari kualitasnya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"['kepo', 'pengen', 'nyoba', 'real', 'sih', 'pas', 'dicoba', 'tuh', 'beneran', 'nyaman', 'gak', 'lengket', 'banget', 'ringan', 'gongnya', 'pas', 'pagi', 'kerasa', 'lembab', 'asli', 'sih', 'bagus', 'astagaaaa', 'so', 'far', 'worth', 'it', 'to', 'buy', 'emang', 'yaa', 'harga', 'lumayan', 'menurutku', 'oke', 'kok', 'kalo', 'diliat', 'kualitasnya']",0.2878,Positive,positif,"[-0.2701354   0.43893808 -0.08882395 -0.04428099  0.15086229 -0.6328337
  0.33466345  1.0650493  -0.42844108 -0.30893728 -0.15166454 -0.715821
 -0.07849031  0.1322149   0.06486334 -0.29245156  0.26393414 -0.3621485
 -0.03279948 -0.9287266   0.1849809   0.24358071  0.18033049 -0.18384399
 -0.07608183  0.0571261  -0.35817847 -0.2887906  -0.44704276  0.12434859
  0.46285826 -0.09965613  0.24412534 -0.44729614 -0.25324437  0.71556425
  0.04944036 -0.32052034 -0.1318163  -0.7463098   0.00791664 -0.4058431
 -0.20726857  0.10433937  0.40360728 -0.04851053 -0.37143633 -0.08056198
  0.2774305   0.16629265  0.1636787  -0.47655928  0.21468852  0.07553133
 -0.34241238  0.23157105  0.14331852  0.08422463 -0.4795015   0.24487853
  0.02181998  0.04348279  0.07931507 -0.0921037  -0.41285744  0.59080476
  0.27861685  0.26688597 -0.5985597   0.5227164  -0.41166967  0.15595475
  0.5452421  -0.08234876  0.5458457   0.24318059 -0.07097768 -0.07510152
 -0.33843076  0.12624715 -0.42469567  0.00917159 -0.38698012  0.6191703
 -0.17427842 -0.09899505  0.1808559   0.53323513  0.45337057  0.0313853
  0.6446126   0.49321014  0.07768878  0.0436991   0.77769107  0.37886786
  0.23761243 -0.41716623  0.10052012 -0.00235467]"
rezitara,2025-09-02,beli ini karena sempet hype bgt trs penasaran dan coba ok sih melembabkan iya banget dikulit aku juga bagus gada efek jelek juga tp emg bener untuk melembabkan tuh iya bgt kayak kalau seharian abis dr luar trs muka udh bersih dan dikasih ini tuh kulit muka berasa bgt terhidrasi gitu dan seger bgt tp kalau di aku jujur gada perubahan yg signifikan bgt ini produk bagus kok cuma untuk dikulitku gada yg bikin gong bgt gitu tp aku ttp luv kok krn ga bikin kulitku ngamuk yg penting,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"['beli', 'sempet', 'hype', 'bgt', 'trs', 'penasaran', 'coba', 'sih', 'melembabkan', 'iya', 'banget', 'dikulit', 'aku', 'bagus', 'gada', 'efek', 'jelek', 'tp', 'emg', 'bener', 'melembabkan', 'tuh', 'iya', 'bgt', 'kayak', 'kalau', 'seharian', 'abis', 'dr', 'luar', 'trs', 'muka', 'udh', 'bersih', 'dikasih', 'tuh', 'kulit', 'muka', 'berasa', 'bgt', 'terhidrasi', 'gitu', 'seger', 'bgt', 'tp', 'kalau', 'aku', 'jujur', 'gada', 'perubahan', 'yg', 'signifikan', 'bgt', 'produk', 'bagus', 'kok', 'cuma', 'dikulitku', 'gada', 'yg', 'bikin', 'gong', 'bgt', 'gitu', 'tp', 'aku', 'ttp', 'luv', 'kok', 'krn', 'ga', 'bikin', 'kulitku', 'ngamuk', 'yg', 'penting']",0.296,Positive,positif,"[-0.2772507   0.451114   -0.0916416  -0.04341719  0.15160486 -0.6397884
  0.35180566  1.0813793  -0.44247445 -0.31330597 -0.15064786 -0.72094023
 -0.08039249  0.12953295  0.06720173 -0.29165912  0.27867803 -0.36681104
 -0.03895734 -0.95956     0.19947086  0.25031248  0.18589756 -0.18436725
 -0.07590275  0.05078069 -0.3583662  -0.29742768 -0.4434092   0.13464583
  0.47367522 -0.10402405  0.24728684 -0.46283185 -0.2507259   0.7269552
  0.04947938 -0.32272214 -0.1347561  -0.7518334   0.01512938 -0.4057715
 -0.2115929   0.11200894  0.41044334 -0.04958548 -0.37776527 -0.08636569
  0.27799425  0.17009705  0.16581692 -0.48072404  0.21243331  0.08462951
 -0.34526688  0.23642702  0.14848998  0.08452445 -0.47704527  0.2522261
  0.0056009   0.04117955  0.07566725 -0.08920006 -0.42360628  0.6084868
  0.27457216  0.27356318 -0.6107668   0.5279794  -0.42073226  0.16210608
  0.5605554  -0.08078659  0.5535494   0.24254799 -0.06773323 -0.07580133
 -0.34782478  0.13372312 -0.44049388  0.00545139 -0.37978724  0.6323151
 -0.17242146 -0.09127349  0.18209262  0.53814024  0.45844585  0.02273979
  0.64680725  0.4955618   0.06898203  0.04009929  0.7860462   0.37710464
  0.24555512 -0.4210709   0.10420384  0.00722474]"
